Country,City,Year,Month,Number_of_Tourists,Purpose_of_Visit,Average_Length_of_Stay,Tourist_Spending_USD,Hotel_Occupancy_Rate,Number_of_Hotels,Hotel_Rating,Average_Room_Price_USD,Tourism_Revenue_USD,Employment_in_Tourism,Contribution_to_GDP_Percent,Number_of_Flights,Airport_Passenger_Traffic,Transport_Infrastructure_Quality,Eco_Tourism_Revenue_USD,Carbon_Footprint_kg,Waste_Management_Rating,Tourist_Satisfaction_Score,Number_of_Online_Reviews
Spain,Madrid,2024,12,51917,Educational,4.0,2665.13,66.6,210,4-star,216.15,138365.55,5009,11.4,2173,969723,2.8,30598.56,7016439.49,2.2,5.0,2924
Egypt,Cairo,2021,11,143070,Religious,8.1,2353.28,57.4,354,2-star,432.83,336683.77,17219,19.3,4929,379588,7.6,95815.19,24678605.91,1.6,8.7,6051
Canada,Toronto,2024,7,137388,Business,3.8,4078.7,50.1,335,1-star,421.31,560364.44,20524,16.5,577,549097,9.2,72314.55,46069311.03,7.1,7.3,7043
India,Mumbai,2021,10,193026,Family Visit,10.1,2929.01,61.9,202,4-star,209.91,565375.08,16246,8.3,2497,964228,9.2,116500.91,28328344.48,9.5,8.1,8235
Turkey,Istanbul,2020,12,130910,Family Visit,13.4,2729.41,77.1,460,5-star,404.87,357307.06,15789,15.3,3568,900916,8.0,30650.51,23801773.08,7.4,7.5,1965
Mexico,Cancun,2020,2,96197,Family Visit,12.7,997.84,82.3,265,2-star,321.78,95989.21,40996,11.3,3728,64382,4.7,23322.55,10089259.58,6.4,7.8,893
Egypt,Luxor,2021,8,174714,Educational,9.8,4220.59,88.0,409,3-star,312.53,737396.16,17999,9.0,845,126077,6.5,204968.92,27193618.7,1.9,6.3,9931
Italy,Venice,2022,10,77306,Business,14.1,3043.1,74.8,425,4-star,60.36,235249.89,5126,3.9,1103,770670,6.5,36706.67,30503223.23,9.4,9.6,1892
Italy,Rome,2020,11,126589,Family Visit,5.1,1244.84,49.3,362,5-star,199.47,157583.05,42430,5.3,3208,717054,1.5,21084.5,53311866.08,1.0,6.7,8866
United States,New York,2020,10,113731,Religious,9.0,4639.35,57.3,259,1-star,266.38,527637.91,41368,12.2,1454,251579,9.2,59125.32,37650963.91,2.5,5.2,6420
United States,Las Vegas,2022,6,144270,Business,5.6,1490.44,50.6,98,3-star,130.12,215025.78,24816,3.8,4201,205989,1.8,64339.7,43407669.66,6.4,5.3,2582
Spain,Seville,2022,11,74442,Leisure,12.4,2072.24,63.4,354,3-star,66.45,154261.69,29861,16.9,2565,476752,8.0,25194.36,23058864.17,5.0,7.0,5897
United States,Los Angeles,2023,2,169614,Medical,3.3,2004.63,43.8,180,2-star,217.99,340013.31,39249,18.1,3951,963376,1.2,30274.16,65536965.45,6.9,5.1,6054
India,Mumbai,2023,8,80678,Leisure,10.7,588.7,45.2,288,Unrated,306.25,47495.14,44986,13.4,3554,522327,1.9,5262.13,31376220.61,8.7,9.2,4647
Thailand,Bangkok,2022,9,104771,Business,10.7,1422.43,54.7,481,3-star,89.12,149029.41,9425,2.6,2698,758754,2.1,40105.46,37421081.69,7.3,9.6,6952
China,Shanghai,2022,6,137955,Religious,6.4,4212.98,58.2,168,5-star,170.63,581201.66,19596,7.6,1779,244269,4.3,154173.62,25908529.8,9.8,8.9,2779
Germany,Berlin,2024,6,117642,Business,13.6,4099.35,61.3,164,1-star,280.61,482255.73,17808,11.3,736,936040,3.3,40914.1,51053345.17,9.9,7.6,9096
Singapore,Sentosa Island,2024,8,131994,Educational,12.7,2883.48,80.8,90,4-star,173.32,380602.06,44952,8.7,2122,623044,1.1,32054.84,60718224.24,8.9,8.0,6236
India,Jaipur,2022,3,97924,Medical,4.3,4614.85,60.9,239,Unrated,283.51,451904.57,25609,4.2,1886,242192,1.7,90737.03,19402626.49,4.5,6.4,7779
Germany,Berlin,2024,8,61046,Educational,9.9,4771.88,59.8,201,3-star,471.57,291304.19,28863,5.1,1250,294883,2.5,75850.49,26772525.43,9.6,5.8,253
Mexico,Puerto Vallarta,2024,1,182596,Leisure,6.5,2081.93,60.6,110,Unrated,359.78,380152.09,18350,2.4,4069,477236,1.0,110975.84,18643330.5,1.9,6.6,4190
United Kingdom,Edinburgh,2020,2,56960,Educational,3.8,4776.07,62.3,352,4-star,89.02,272044.95,49623,17.6,4562,757220,7.8,62849.41,20214684.31,9.8,9.5,5487
Thailand,Phuket,2020,8,127454,Leisure,11.0,732.18,73.5,337,4-star,367.51,93319.27,9806,20.0,3657,930889,3.8,7477.73,50014156.41,2.7,5.6,9118
South Africa,Johannesburg,2023,4,187809,Medical,11.7,746.97,62.8,492,2-star,423.01,140287.69,26776,13.4,3723,171826,6.0,23886.15,85265162.54,5.8,7.2,7226
United Arab Emirates,Dubai,2021,12,144071,Religious,9.0,4058.25,55.9,259,3-star,284.08,584676.14,18737,17.7,4021,173618,8.8,32342.74,64814757.87,5.8,9.7,3910
Brazil,Sao Paulo,2020,3,146122,Family Visit,15.0,2078.2,78.4,367,Unrated,265.94,303670.74,17984,12.0,2271,895038,4.6,22145.14,34272649.97,5.7,8.7,3860
Spain,Madrid,2020,8,52050,Educational,8.1,1836.51,82.6,195,Unrated,155.12,95590.35,45600,6.3,3132,447710,4.5,21021.45,9749045.95,9.5,8.9,9230
Germany,Munich,2023,10,181878,Educational,13.4,4751.29,63.4,382,1-star,495.13,864155.12,29262,19.8,1384,376898,5.6,93041.38,31030426.16,3.0,5.9,6502
China,Beijing,2020,12,195271,Cultural,6.6,760.29,88.5,226,1-star,283.22,148462.59,23297,11.0,2414,57657,5.6,25653.83,97349293.31,9.1,7.3,4976
Mexico,Cancun,2022,2,57287,Cultural,11.7,656.89,84.7,406,4-star,91.17,37631.26,23024,8.4,3182,567083,5.3,2299.05,25256544.38,1.3,6.6,9852
Thailand,Chiang Mai,2021,2,114772,Religious,11.6,1766.26,52.6,87,4-star,166.89,202717.19,8972,1.9,1413,942964,3.0,44762.93,14972276.4,8.7,7.5,417
Thailand,Phuket,2021,10,52396,Business,13.8,3070.94,73.1,89,2-star,304.58,160904.97,39080,17.7,2883,69623,3.2,14374.47,8601329.57,4.0,6.2,4386
Germany,Frankfurt,2020,10,119274,Cultural,11.8,1213.72,84.0,363,4-star,259.46,144765.24,17713,3.4,4008,479725,9.2,7278.8,38462608.11,7.8,6.3,5443
Singapore,Sentosa Island,2022,4,125418,Educational,14.8,3343.16,53.0,237,3-star,54.08,419292.44,6007,3.0,4026,79257,4.9,109028.77,32214928.25,2.6,8.8,377
Mexico,Puerto Vallarta,2023,10,194579,Religious,4.3,3968.84,87.4,241,4-star,368.68,772252.92,13073,10.0,521,333097,1.7,203182.57,96522732.09,7.1,7.2,9054
Thailand,Phuket,2023,6,137266,Medical,9.7,2226.26,43.3,82,2-star,195.62,305589.81,32570,5.8,4109,61745,3.5,91457.26,37126681.05,5.1,5.8,9178
China,Beijing,2020,9,125932,Family Visit,5.9,4279.76,78.6,133,5-star,344.53,538958.74,27042,17.5,3953,818747,1.3,125479.04,58408496.29,8.7,9.8,1782
Germany,Berlin,2021,3,178386,Leisure,6.1,1943.34,76.2,211,3-star,145.9,346664.65,31431,17.5,1291,557403,6.1,58199.14,56600650.92,2.4,6.0,3776
Canada,Montreal,2020,11,189783,Family Visit,12.0,4301.52,78.1,436,4-star,408.56,816355.37,43827,1.6,4399,888530,2.7,135126.67,19071812.55,6.4,8.0,1975
Spain,Barcelona,2022,8,84531,Family Visit,9.3,1514.93,48.0,263,5-star,311.89,128058.55,40201,16.2,894,997263,5.1,6774.95,10902703.15,4.5,7.4,8457
Italy,Venice,2022,10,56154,Business,11.0,4370.55,79.0,441,2-star,375.93,245423.86,8762,3.0,2948,89499,9.9,21014.14,16821226.15,6.6,8.5,9005
Canada,Toronto,2024,3,72431,Cultural,14.2,825.87,66.7,282,Unrated,207.78,59818.59,28116,2.5,1417,364470,2.2,11478.3,27218554.87,8.2,6.0,9178
Japan,Osaka,2020,1,112768,Medical,14.4,1058.99,84.8,58,1-star,471.3,119420.18,31015,6.7,1215,563287,9.5,24639.51,46614805.58,6.5,7.4,558
China,Beijing,2021,5,148511,Business,9.1,4177.84,62.6,52,4-star,68.34,620455.2,34545,9.3,2634,684379,2.4,166248.42,27873375.39,9.8,6.7,2027
Greece,Santorini,2023,1,78380,Medical,12.3,3464.18,64.9,131,2-star,59.39,271522.43,21082,5.3,811,839352,5.4,19110.19,20481050.19,3.0,7.1,452
India,Mumbai,2022,2,162340,Business,11.5,3842.18,61.3,53,5-star,380.91,623739.5,41221,19.8,2212,392962,6.2,99582.42,63329331.44,5.4,9.4,9733
Australia,Brisbane,2023,4,174677,Business,10.5,4964.6,54.2,174,4-star,144.8,867201.43,38297,13.0,3458,893488,2.2,198551.18,80982529.44,2.6,6.2,6577
Australia,Melbourne,2023,9,83142,Business,7.4,811.1,61.9,365,Unrated,232.26,67436.48,37781,10.8,3655,811985,1.9,14366.05,18695245.49,4.6,9.3,4456
Turkey,Antalya,2022,1,194832,Business,12.1,1088.93,88.5,352,5-star,155.6,212158.41,49738,9.4,3139,252332,4.0,54571.56,53063471.2,3.2,8.1,6756
South Africa,Johannesburg,2021,6,158856,Leisure,4.2,1254.29,41.8,470,1-star,210.53,199251.49,20563,10.0,4068,321991,8.3,39120.76,71057641.01,2.9,5.6,4053
Mexico,Cancun,2022,8,131537,Educational,3.6,1540.09,42.6,50,3-star,104.95,202578.82,25677,4.4,1508,900610,1.4,17641.74,65065046.59,9.7,5.0,7573
United Kingdom,London,2022,2,111212,Religious,13.3,2546.33,65.8,227,5-star,204.19,283182.45,18605,3.7,4903,440479,9.5,66045.15,18344726.11,2.7,8.7,6912
Thailand,Bangkok,2022,6,155823,Medical,5.0,4835.06,52.8,242,5-star,427.15,753413.55,20577,8.1,3985,498625,3.2,194169.21,69472677.06,7.9,5.6,4540
Japan,Tokyo,2022,12,104061,Family Visit,13.9,3202.74,87.0,191,5-star,227.24,333280.33,18380,12.0,3791,512785,10.0,20681.05,51080389.11,4.7,9.4,3928
Italy,Rome,2020,11,164044,Cultural,11.9,4665.54,61.9,131,4-star,445.05,765353.84,30426,17.5,4212,444583,3.7,162460.64,37951988.06,6.7,8.0,2290
Egypt,Luxor,2022,12,190180,Religious,6.9,2968.25,69.8,273,2-star,217.96,564501.79,27443,1.3,3838,810674,2.5,118908.91,76782841.71,5.5,7.7,6571
Canada,Montreal,2020,12,81348,Educational,12.6,990.13,47.4,353,4-star,311.08,80545.1,16563,10.1,542,470182,8.3,18487.58,39226776.65,1.2,6.0,9306
India,Jaipur,2020,2,109182,Leisure,2.9,4795.97,72.7,100,5-star,77.12,523633.6,18076,10.1,1463,843583,5.7,113902.88,51516691.56,5.8,7.9,205
Thailand,Phuket,2020,8,158177,Business,7.2,4895.26,81.2,399,3-star,131.52,774317.54,49139,4.4,4154,532238,2.0,148535.83,32050632.58,9.7,7.4,1898
United States,New York,2020,8,109189,Educational,9.2,695.36,71.7,428,3-star,51.16,75925.66,28669,10.8,1743,275160,8.1,16069.78,18552234.98,4.2,9.5,6395
Egypt,Cairo,2023,7,169503,Religious,9.2,1650.4,55.1,201,4-star,420.18,279747.75,12227,13.8,645,284386,6.6,45582.64,56723057.73,2.5,8.7,1349
United Kingdom,London,2022,3,67014,Family Visit,9.0,1303.01,55.6,468,2-star,323.19,87319.91,28711,13.1,1468,208285,6.7,5642.06,10501747.68,3.5,8.0,9869
Turkey,Istanbul,2021,3,81910,Leisure,11.4,571.19,57.1,351,5-star,96.85,46786.17,22625,7.4,1690,744892,1.7,3341.21,37488269.82,2.7,6.6,5289
Greece,Santorini,2022,11,118008,Family Visit,10.0,2490.84,81.6,493,5-star,410.16,293939.05,41378,13.2,3323,892981,6.3,64676.29,22696676.38,5.1,6.0,5349
Mexico,Mexico City,2021,5,175541,Cultural,9.3,3787.93,63.3,313,3-star,311.21,664937.02,35137,19.2,2368,885036,7.2,66648.91,55177991.02,1.9,7.3,3183
Japan,Osaka,2023,4,96479,Family Visit,10.6,4079.52,86.4,286,3-star,103.92,393588.01,34301,19.9,4443,243783,5.9,102532.95,29752501.88,6.6,5.4,4995
Italy,Rome,2024,11,169968,Medical,9.9,2780.77,48.0,191,4-star,102.94,472641.92,10782,6.0,2101,265400,1.8,134343.48,54648263.7,3.7,7.0,7674
Australia,Melbourne,2021,11,68073,Religious,9.8,2820.56,86.0,476,4-star,308.56,192003.98,10435,17.2,4607,802878,4.6,35507.9,23905877.58,7.1,7.7,7729
Canada,Montreal,2022,1,123861,Leisure,3.8,1453.92,80.9,448,1-star,231.34,180083.99,11721,3.9,3478,704801,9.6,34803.1,58597684.9,6.2,7.4,4359
China,Guangzhou,2023,2,55901,Leisure,3.8,4542.18,81.5,485,2-star,276.15,253912.4,28429,3.8,3029,295127,5.3,44822.37,10790041.39,1.7,8.9,8834
China,Guangzhou,2024,6,78179,Business,7.7,975.49,72.0,398,Unrated,57.96,76262.83,42947,7.9,2453,409177,2.9,13052.41,31404615.14,6.6,6.5,5178
Thailand,Chiang Mai,2022,2,94936,Religious,3.8,1046.23,55.2,420,4-star,129.99,99324.89,28291,12.7,2138,629111,8.3,20242.9,21123397.5,6.6,7.6,3402
United Kingdom,Edinburgh,2020,10,107009,Business,3.7,4489.72,62.5,56,2-star,286.48,480440.45,32605,16.7,2264,547660,7.9,25346.99,28513789.28,5.3,5.1,7858
United States,Los Angeles,2022,12,74022,Medical,3.8,2908.9,50.8,262,1-star,425.44,215322.6,21052,16.2,4768,706031,5.4,16673.3,23626622.92,5.1,9.2,8061
United Kingdom,Edinburgh,2022,10,60749,Business,4.0,1961.04,76.9,281,3-star,414.81,119131.22,33380,8.5,3993,306553,8.1,32525.35,29289150.75,8.1,6.6,6372
India,Delhi,2023,12,53631,Medical,5.3,4283.92,41.9,493,Unrated,401.53,229750.91,46674,10.4,1275,471818,5.1,24523.88,24442669.69,5.1,9.4,7183
France,Paris,2022,1,113936,Educational,7.8,715.24,41.9,136,1-star,372.35,81491.58,12788,16.2,3211,782176,9.6,19099.76,27492820.99,3.7,6.7,5430
France,Marseille,2023,8,175426,Family Visit,4.4,1283.49,44.9,399,3-star,423.74,225157.52,15759,6.0,2073,471486,1.7,65738.12,38274078.21,7.9,8.1,3109
India,Delhi,2021,6,147661,Family Visit,5.4,811.64,88.0,168,3-star,68.88,119847.57,39964,3.4,1269,371909,5.4,33566.22,45524957.84,6.5,5.8,621
Italy,Florence,2022,8,95838,Business,3.4,3193.39,44.8,364,Unrated,297.54,306048.11,44896,4.1,4583,969965,9.4,67023.18,28599893.11,1.1,10.0,9859
Spain,Barcelona,2021,6,170029,Medical,13.2,4309.31,85.9,67,1-star,336.23,732707.67,44933,9.8,801,991415,6.0,69716.15,20665882.83,3.9,8.8,9660
China,Beijing,2023,12,93541,Medical,9.0,3775.76,45.4,262,2-star,376.69,353188.37,29858,19.3,1986,227558,8.6,82363.66,29642664.18,6.3,7.5,8994
South Africa,Johannesburg,2023,12,199109,Educational,9.3,3599.98,83.7,416,3-star,444.71,716788.42,41068,4.0,861,827401,1.1,80043.56,77768926.25,9.9,5.5,5443
South Africa,Johannesburg,2022,3,145081,Medical,10.5,1899.18,77.1,351,3-star,327.19,275534.93,30498,14.1,2659,481116,5.8,49882.79,63722348.63,8.6,9.2,1137
Italy,Florence,2021,1,195016,Family Visit,14.5,2155.73,56.3,292,4-star,428.89,420401.84,17087,10.5,1197,674771,4.5,88638.07,80377777.1,3.0,5.7,8009
Mexico,Cancun,2024,10,153892,Educational,2.0,1302.68,41.5,479,3-star,209.97,200472.03,38848,8.4,2820,339910,8.9,35589.28,59919682.48,1.9,6.1,6743
South Africa,Cape Town,2022,2,86727,Family Visit,9.8,3544.11,80.2,208,3-star,60.32,307370.03,48922,10.5,1163,92092,7.7,90825.48,15952286.68,8.4,7.6,5569
Turkey,Antalya,2022,12,78854,Religious,11.6,1561.36,58.6,162,1-star,319.2,123119.48,32386,15.6,1519,595909,6.8,19121.93,27951451.97,8.1,5.6,1833
Turkey,Istanbul,2024,5,134045,Business,11.7,3829.94,87.5,374,3-star,133.01,513384.31,35268,19.6,4196,551597,8.5,60716.78,41182847.29,3.7,9.7,1549
Turkey,Istanbul,2022,2,75122,Cultural,7.6,4427.29,82.1,470,2-star,266.41,332586.88,30279,10.2,2125,200787,1.4,91786.77,34838284.0,8.0,5.0,785
India,Delhi,2022,12,57531,Medical,3.8,3881.19,72.8,85,1-star,56.03,223288.74,6431,2.1,2961,714917,3.4,24951.33,26608192.91,3.2,6.4,2114
Brazil,Rio de Janeiro,2021,1,190905,Medical,13.0,1706.63,47.8,277,5-star,65.13,325804.2,7643,12.8,1374,416008,4.1,41962.73,78031099.69,1.8,6.2,771
Italy,Florence,2020,2,188999,Business,9.1,1075.95,84.1,454,5-star,73.52,203353.47,7539,16.0,4760,461961,9.8,17537.46,73721382.94,2.7,6.7,8662
United States,San Francisco,2023,6,137896,Medical,14.3,4853.1,49.2,210,1-star,118.06,669223.08,29259,8.9,1097,855878,5.9,197507.28,26333143.94,4.6,7.7,6666
Singapore,Sentosa Island,2021,2,94629,Family Visit,9.1,3258.05,51.3,147,1-star,268.11,308306.01,18140,3.7,3637,695961,5.2,47152.75,34103287.29,5.9,5.3,8203
Turkey,Istanbul,2021,1,80651,Medical,6.6,4901.28,79.7,98,Unrated,140.61,395293.13,23708,4.1,1591,735933,7.8,21538.11,12138097.53,6.9,5.8,881
South Africa,Cape Town,2020,9,164586,Cultural,14.3,3020.82,77.5,418,1-star,62.23,497184.68,21280,2.8,4470,224023,3.5,73425.27,69017110.63,4.3,7.3,2526
Spain,Madrid,2023,12,153850,Family Visit,12.1,4840.14,50.2,123,3-star,92.32,744655.54,38243,15.4,984,311716,3.8,156875.59,27437043.61,9.1,7.6,7071
Thailand,Phuket,2022,3,135445,Cultural,12.3,1925.43,82.9,308,Unrated,453.73,260789.87,6898,19.7,3476,961579,2.8,25050.49,61979074.51,6.9,5.8,2407
Greece,Santorini,2022,4,89901,Family Visit,10.0,875.59,84.1,61,3-star,382.88,78716.42,49918,19.4,1074,81852,9.9,17079.89,31813132.85,2.5,9.4,9886
Brazil,Sao Paulo,2023,6,58438,Leisure,3.7,3590.87,44.7,245,5-star,373.71,209843.26,29217,2.5,726,720396,4.0,26046.26,27307095.63,2.0,8.8,7644
Singapore,Sentosa Island,2023,5,199960,Religious,6.7,2723.96,81.4,335,5-star,128.19,544683.04,41116,3.1,1741,271373,7.5,84442.04,92410304.18,7.7,6.0,1198
